"Step","Edited GRU books 1024 - batch_loss","Edited GRU books 1024 - batch_loss__MIN","Edited GRU books 1024 - batch_loss__MAX","Original GRU books 1024 - batch_loss","Original GRU books 1024 - batch_loss__MIN","Original GRU books 1024 - batch_loss__MAX","Edited GRU books 512 - batch_loss","Edited GRU books 512 - batch_loss__MIN","Edited GRU books 512 - batch_loss__MAX","Original GRU books 512 - batch_loss","Original GRU books 512 - batch_loss__MIN","Original GRU books 512 - batch_loss__MAX","Edited GRU books 256 - batch_loss","Edited GRU books 256 - batch_loss__MIN","Edited GRU books 256 - batch_loss__MAX","Original GRU books 256 - batch_loss","Original GRU books 256 - batch_loss__MIN","Original GRU books 256 - batch_loss__MAX"
"9888","","","","31.822068732231855","31.822068732231855","31.822068732231855","31.96858468838036","31.96858468838036","31.96858468838036","28.54185771010816","28.54185771010816","28.54185771010816","35.230849739164114","35.230849739164114","35.230849739164114","36.41745811328292","36.41745811328292","36.41745811328292"
"10207","","","","31.29954968392849","31.29954968392849","31.29954968392849","30.590649927034974","30.590649927034974","30.590649927034974","28.021863512694836","28.021863512694836","28.021863512694836","34.19929103553295","34.19929103553295","34.19929103553295","34.52983060479164","34.52983060479164","34.52983060479164"
"10526","","","","31.439764751121402","31.439764751121402","31.439764751121402","30.570748697966337","30.570748697966337","30.570748697966337","27.70350963808596","27.70350963808596","27.70350963808596","34.393041521310806","34.393041521310806","34.393041521310806","35.304446026682854","35.304446026682854","35.304446026682854"
"10845","","","","31.142325703054667","31.142325703054667","31.142325703054667","30.271305307745934","30.271305307745934","30.271305307745934","26.964831357821822","26.964831357821822","26.964831357821822","34.2669766061008","34.2669766061008","34.2669766061008","34.22722355648875","34.22722355648875","34.22722355648875"
"11164","","","","30.409099213778973","30.409099213778973","30.409099213778973","29.4941665828228","29.4941665828228","29.4941665828228","26.435578224249184","26.435578224249184","26.435578224249184","34.45477727800608","34.45477727800608","34.45477727800608","34.066695507615805","34.066695507615805","34.066695507615805"
"11483","","","","30.053697794675827","30.053697794675827","30.053697794675827","28.754670150578022","28.754670150578022","28.754670150578022","27.062122367322445","27.062122367322445","27.062122367322445","34.28463790938258","34.28463790938258","34.28463790938258","34.7380544655025","34.7380544655025","34.7380544655025"
"11802","","","","29.82856772840023","29.82856772840023","29.82856772840023","29.2554063051939","29.2554063051939","29.2554063051939","26.12764673307538","26.12764673307538","26.12764673307538","33.69918158277869","33.69918158277869","33.69918158277869","34.25132427923381","34.25132427923381","34.25132427923381"
"12121","","","","29.423355896025896","29.423355896025896","29.423355896025896","28.04254030250013","28.04254030250013","28.04254030250013","26.628384836018085","26.628384836018085","26.628384836018085","34.303483214229345","34.303483214229345","34.303483214229345","33.581143490970135","33.581143490970135","33.581143490970135"
"12440","","","","29.33817871287465","29.33817871287465","29.33817871287465","28.50071294233203","28.50071294233203","28.50071294233203","25.830608405172825","25.830608405172825","25.830608405172825","33.24453080072999","33.24453080072999","33.24453080072999","32.942969458177686","32.942969458177686","32.942969458177686"
"12759","","","","29.629841366782784","29.629841366782784","29.629841366782784","28.0044100061059","28.0044100061059","28.0044100061059","25.554585359990597","25.554585359990597","25.554585359990597","31.959876481443644","31.959876481443644","31.959876481443644","33.09725600481033","33.09725600481033","33.09725600481033"
"13078","","","","29.18282574415207","29.18282574415207","29.18282574415207","26.7270166631788","26.7270166631788","26.7270166631788","25.479690052568913","25.479690052568913","25.479690052568913","32.88688187301159","32.88688187301159","32.88688187301159","32.877259597182274","32.877259597182274","32.877259597182274"
"13397","","","","28.937259182333946","28.937259182333946","28.937259182333946","27.394964965060353","27.394964965060353","27.394964965060353","24.658254992216825","24.658254992216825","24.658254992216825","32.49544379860163","32.49544379860163","32.49544379860163","32.76712254434824","32.76712254434824","32.76712254434824"
"13716","","","","28.333274632692337","28.333274632692337","28.333274632692337","27.009935760870576","27.009935760870576","27.009935760870576","24.464969251304865","24.464969251304865","24.464969251304865","31.67858139425516","31.67858139425516","31.67858139425516","32.271464079618454","32.271464079618454","32.271464079618454"
"14035","","","","27.715027052909136","27.715027052909136","27.715027052909136","27.47778004221618","27.47778004221618","27.47778004221618","24.453968470916152","24.453968470916152","24.453968470916152","33.109916623681784","33.109916623681784","33.109916623681784","32.06598869897425","32.06598869897425","32.06598869897425"
"14354","","","","28.416193459182978","28.416193459182978","28.416193459182978","26.770917549729347","26.770917549729347","26.770917549729347","24.413669399917126","24.413669399917126","24.413669399917126","31.466978147625923","31.466978147625923","31.466978147625923","32.15035300888121","32.15035300888121","32.15035300888121"
"14673","","","","27.200694739818573","27.200694739818573","27.200694739818573","26.40874315239489","26.40874315239489","26.40874315239489","24.375640699639916","24.375640699639916","24.375640699639916","31.680873677134514","31.680873677134514","31.680873677134514","31.36577852256596","31.36577852256596","31.36577852256596"
"14992","","","","28.051270784810185","28.051270784810185","28.051270784810185","26.669732350856066","26.669732350856066","26.669732350856066","24.035004759207368","24.035004759207368","24.035004759207368","31.719093091785908","31.719093091785908","31.719093091785908","31.584102395921946","31.584102395921946","31.584102395921946"
"15311","","","","26.973165246658027","26.973165246658027","26.973165246658027","26.491456858813763","26.491456858813763","26.491456858813763","23.052215164527297","23.052215164527297","23.052215164527297","31.179279752075672","31.179279752075672","31.179279752075672","31.130379021167755","31.130379021167755","31.130379021167755"
"15630","","","","27.548162322491407","27.548162322491407","27.548162322491407","25.294127453118563","25.294127453118563","25.294127453118563","23.472472136840224","23.472472136840224","23.472472136840224","31.065121987834573","31.065121987834573","31.065121987834573","30.594832561910152","30.594832561910152","30.594832561910152"
"15949","","","","27.29453530907631","27.29453530907631","27.29453530907631","25.967732720077038","25.967732720077038","25.967732720077038","22.866872992366552","22.866872992366552","22.866872992366552","31.31576817110181","31.31576817110181","31.31576817110181","30.748356468975544","30.748356468975544","30.748356468975544"
